application,data_structure,best_data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
3,java.util.LinkedList,java.util.ArrayList,58779.0,80815.0,164.0,47964.0,58808.0,10690.0,21876.0,13.0,489.0,285.0,482.0,0.0,99910.0,53536.0,576.0,831.0,390.0,56.0,1450.0,1322.0,737.0,398.0,46.0,858.0,690.0,153.0,827.0,74.0,13.0,2181.0,864.0,1253.0,46.0,727.0,74.0,12.0,164.0,153.0,0.0,906.0,0.0,1008.0,11.0,143434.0,192486.0,51.0,288.0,84577.0,3731.0,0.0,49114.0,24665.0,5696.0,73.0,3.0,139485.0,439333.0,0.0,0.0
3,java.util.Vector,java.util.ArrayList,68777.0,89830.0,143.0,59430.0,68922.0,9337.0,20799.0,10.0,558.0,266.0,545.0,0.0,115699.0,76862.0,468.0,1059.0,350.0,51.0,1551.0,1428.0,735.0,345.0,42.0,1044.0,831.0,195.0,1023.0,77.0,12.0,2449.0,936.0,1416.0,32.0,703.0,81.0,12.0,186.0,209.0,0.0,916.0,4.0,850.0,12.0,161729.0,228165.0,51.0,241.0,88063.0,2775.0,0.0,66340.0,25563.0,5455.0,43.0,3.0,150184.0,504747.0,0.0,0.0
4,java.util.ArrayList,java.util.LinkedList,53741.0,70173.0,114.0,46135.0,53598.0,7607.0,16440.0,14.0,497.0,192.0,483.0,0.0,72173.0,49132.0,360.0,762.0,256.0,41.0,1113.0,1082.0,632.0,260.0,30.0,779.0,588.0,163.0,799.0,72.0,15.0,1768.0,843.0,1036.0,28.0,662.0,76.0,16.0,169.0,198.0,0.0,785.0,0.0,795.0,14.0,116413.0,147206.0,97.0,211.0,66234.0,2902.0,0.0,30783.0,20960.0,5492.0,64.0,4.0,115619.0,350658.0,0.0,0.0
4,java.util.LinkedList,java.util.LinkedList,56582.0,75986.0,153.0,45402.0,56442.0,11157.0,19411.0,18.0,572.0,293.0,567.0,0.0,95615.0,54484.0,531.0,817.0,373.0,61.0,1396.0,1283.0,786.0,384.0,28.0,818.0,648.0,195.0,846.0,83.0,17.0,2110.0,1086.0,1223.0,16.0,778.0,83.0,16.0,201.0,204.0,0.0,1117.0,2.0,1058.0,17.0,134195.0,185294.0,161.0,284.0,81672.0,6235.0,0.0,51062.0,28313.0,6203.0,129.0,5.0,139493.0,423628.0,0.0,0.0
4,java.util.Vector,java.util.LinkedList,56548.0,73880.0,122.0,47712.0,56402.0,8840.0,17355.0,15.0,582.0,260.0,669.0,0.0,95032.0,64304.0,415.0,967.0,294.0,59.0,1355.0,1310.0,708.0,305.0,30.0,967.0,719.0,220.0,954.0,77.0,13.0,2267.0,914.0,1248.0,40.0,771.0,82.0,14.0,218.0,216.0,0.0,931.0,2.0,916.0,13.0,132181.0,187015.0,121.0,238.0,76526.0,4781.0,0.0,54817.0,25391.0,6252.0,52.0,5.0,130552.0,412028.0,0.0,0.0
5,java.util.ArrayList,java.util.LinkedList,135336.0,149177.0,324.0,111690.0,143773.0,20146.0,38488.0,19.0,733.0,300.0,648.0,0.0,179228.0,118759.0,443.0,1180.0,325.0,50.0,1466.0,1510.0,824.0,329.0,44.0,1141.0,898.0,221.0,1120.0,83.0,18.0,2509.0,1117.0,1206.0,210.0,919.0,72.0,18.0,245.0,239.0,0.0,1132.0,216.0,1071.0,15.0,281290.0,367572.0,85.0,363.0,155874.0,3116.0,0.0,66496.0,33860.0,7825.0,2.0,10.0,239958.0,982718.0,0.0,0.0
5,java.util.LinkedList,java.util.LinkedList,115608.0,136315.0,366.0,90655.0,122302.0,22971.0,40322.0,25.0,625.0,271.0,620.0,0.0,193450.0,99698.0,644.0,1051.0,335.0,210.0,1619.0,1609.0,1152.0,339.0,352.0,1012.0,798.0,221.0,1037.0,69.0,15.0,2606.0,1379.0,1353.0,358.0,1149.0,77.0,15.0,214.0,229.0,0.0,1344.0,332.0,1296.0,16.0,272071.0,381537.0,211.0,480.0,152969.0,5189.0,0.0,92111.0,41649.0,7742.0,9.0,7.0,237339.0,955959.0,0.0,0.0
5,java.util.Vector,java.util.LinkedList,138492.0,152568.0,315.0,114624.0,147084.0,20350.0,38975.0,19.0,667.0,247.0,648.0,0.0,233905.0,154517.0,474.0,1271.0,270.0,139.0,1648.0,1706.0,937.0,277.0,216.0,1317.0,1017.0,253.0,1257.0,71.0,11.0,2905.0,1150.0,1496.0,212.0,927.0,72.0,13.0,254.0,290.0,0.0,1188.0,219.0,1130.0,14.0,316983.0,472664.0,93.0,344.0,173470.0,3013.0,0.0,132745.0,39461.0,6774.0,3.0,10.0,259207.0,1149984.0,0.0,0.0
6,java.util.ArrayList,java.util.ArrayList,64287.0,100480.0,148.0,60544.0,69459.0,9043.0,21263.0,25.0,504.0,218.0,506.0,0.0,95628.0,65086.0,421.0,750.0,239.0,142.0,1127.0,1084.0,795.0,240.0,200.0,692.0,514.0,166.0,713.0,61.0,22.0,1791.0,990.0,912.0,202.0,826.0,64.0,18.0,176.0,184.0,0.0,969.0,210.0,970.0,19.0,144032.0,187511.0,51.0,342.0,82004.0,2481.0,0.0,34577.0,22135.0,5371.0,3.0,5.0,136495.0,483610.0,0.0,0.0
6,java.util.LinkedList,java.util.ArrayList,76883.0,115251.0,208.0,64379.0,80683.0,16406.0,26723.0,44.0,677.0,396.0,656.0,0.0,141989.0,79404.0,1007.0,918.0,384.0,499.0,1813.0,1788.0,1959.0,375.0,894.0,852.0,516.0,289.0,815.0,75.0,27.0,2584.0,2197.0,1192.0,892.0,1942.0,79.0,25.0,261.0,243.0,0.0,2179.0,849.0,2195.0,32.0,183833.0,268809.0,469.0,901.0,111718.0,7912.0,0.0,76129.0,33487.0,6215.0,12.0,3.0,181749.0,637958.0,0.0,0.0
6,java.util.Vector,java.util.ArrayList,66089.0,103231.0,156.0,62270.0,71331.0,9194.0,22047.0,25.0,619.0,263.0,604.0,0.0,127940.0,84185.0,461.0,903.0,265.0,152.0,1241.0,1342.0,891.0,250.0,204.0,799.0,578.0,238.0,882.0,64.0,19.0,2216.0,1095.0,1055.0,202.0,852.0,72.0,20.0,212.0,188.0,0.0,1096.0,205.0,1096.0,19.0,163738.0,241563.0,104.0,323.0,92462.0,2381.0,0.0,65408.0,26057.0,5355.0,4.0,5.0,147771.0,567701.0,0.0,0.0
7,java.util.ArrayList,java.util.LinkedList,89911.0,115004.0,207.0,78146.0,89505.0,11904.0,24866.0,18.0,635.0,209.0,553.0,0.0,111163.0,76511.0,375.0,770.0,232.0,90.0,1136.0,1051.0,765.0,230.0,130.0,764.0,546.0,201.0,736.0,68.0,17.0,1827.0,942.0,972.0,130.0,736.0,75.0,17.0,197.0,191.0,0.0,924.0,125.0,865.0,15.0,184943.0,226905.0,21.0,275.0,101758.0,1793.0,0.0,42125.0,21489.0,5576.0,1.0,9.0,172950.0,561563.0,0.0,0.0
