,PAPI_BR_CN,PAPI_BR_CN,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_INS,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_MSP,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_NTK,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_PRC,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_TKN,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_BR_UCN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_CLN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_ITV,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SHR,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_CA_SNP,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_DP_OPS,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_CCY,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_FUL_ICY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_DCM,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_ICM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_LDM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_STM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L1_TCM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCA,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCM,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCR,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_DCW,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICA,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICH,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICM,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_ICR,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_LDM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_STM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCA,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCM,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCR,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L2_TCW,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCA,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCR,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_DCW,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICA,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_ICR,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_LDM,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCA,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCM,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCR,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_L3_TCW,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LD_INS,PAPI_LD_INS,PAPI_LST_INS,PAPI_LST_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_MEM_WCY,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_PRF_DM,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_REF_CYC,PAPI_REF_CYC,PAPI_RES_STL,PAPI_RES_STL,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SP_OPS,PAPI_SP_OPS,PAPI_SR_INS,PAPI_SR_INS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_CCY,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_STL_ICY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_DM,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TLB_IM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_CYC,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_TOT_INS,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_DP,PAPI_VEC_DP,PAPI_VEC_SP,PAPI_VEC_SP,PAPI_VEC_SP
46,1777,13144,70521,1955,15215,74589,1,2,632,1261,12066,52115,1781,13148,69595,1216,1067,18400,171,2072,4059,4,127,314,49,270,954,7,129,370,62,362,1096,0,0,0,1775,17035,90209,1500,11259,85882,254,754,1468,168,107,173,406,864,188,40,596,1297,297,284,680,223,716,1703,89,1433,2792,121,118,169,62,1132,1824,812,468,847,290,132,147,160,88,170,266,160,565,13,53,105,8,7,61,348,842,1764,131,1454,3022,363,171,1607,68,1036,1800,121,1512,2995,0,43,123,10,17,278,174,63,197,231,174,2739,0,0,0,198,1470,2993,42,1065,2164,133,1434,2905,2,39,148,2252,20341,102530,3351,33499,156924,0,40,18595,67,46,682,3735,24485,126243,493,2522,68656,0,0,0,993,13151,55623,3410,47844,172483,383,384,18766,0,182,299,0,2,0,3694,22149,315444,10418,90185,406216,0,0,37,0,0,0
47,1777,13144,70521,1957,15215,74589,2,2,645,1262,12066,52115,1778,13148,69444,1217,1067,18400,171,2071,4059,1,122,358,44,409,1254,4,145,108,53,352,1418,0,0,0,1869,17076,90148,1512,11340,87135,202,752,1601,176,107,167,541,199,185,37,504,1347,330,236,1436,219,778,1617,70,1415,3325,121,113,169,68,1076,1794,806,555,707,280,143,133,115,91,283,236,169,594,11,64,121,0,4,58,321,812,1710,83,1466,3595,381,164,778,74,1158,1820,115,1517,3087,0,39,92,9,32,287,91,114,185,211,160,3791,0,0,29,202,1431,2946,90,1009,2192,66,5823,2651,9,16,172,2251,20341,101294,3350,33499,156924,0,1058,2857,86,62,447,4731,25149,116117,356,4883,14673,0,0,0,993,13151,55623,3125,16669,178780,378,174,19763,23,210,329,0,2,0,3830,22339,318644,10424,90185,406216,0,0,0,0,0,0
48,1777,13144,70521,1957,15215,74750,1,2,630,1262,12066,52115,1781,13148,69424,1217,1104,18398,171,2072,4059,13,81,389,36,249,1480,2,139,106,59,422,1123,0,0,37,1863,16965,90643,1554,11836,86310,199,751,1466,165,108,153,399,185,177,39,535,1356,309,270,708,215,776,1561,121,1452,2817,108,113,169,62,1068,1542,871,517,769,278,117,252,140,62,289,276,167,596,50,61,213,5,16,57,337,1405,1714,110,1486,3211,355,167,724,32,780,1802,109,1551,3012,0,40,130,5,50,257,83,78,182,188,157,3109,1,0,0,181,1451,2962,28,1018,2147,120,1260,2744,5,17,155,2252,20341,101294,3351,33499,157474,0,54,2093,84,57,441,3901,24983,128567,356,2313,14174,0,0,0,993,13151,55623,3032,22686,176181,374,348,39355,12,177,306,0,3,5,3683,21222,308535,10424,90185,406216,0,0,0,0,0,0
49,1777,13144,70521,1957,15215,74589,1,2,641,1261,12066,52683,1781,13437,69403,1217,1067,18400,171,2072,4120,0,89,351,45,294,1389,1,174,80,63,326,1264,0,0,0,1893,17031,89930,1413,11258,86905,114,760,1464,147,108,166,405,203,267,40,590,1333,317,265,687,210,758,1574,72,1493,2837,127,112,341,64,1104,1858,1780,484,715,237,101,143,119,83,247,263,115,1021,26,60,191,8,6,54,333,849,1727,115,1479,3035,379,314,575,64,1114,1894,133,1512,2897,1,32,275,1,21,264,103,79,237,216,408,3441,0,0,1,127,1391,4355,100,1038,2270,78,937,2727,5,22,171,2252,20341,101294,3351,33499,156924,0,2716,15815,67,81,387,3735,24900,123504,463,2102,13851,0,0,0,993,13151,55623,3293,15605,163429,395,142,19291,0,189,292,0,1,0,3894,21513,337557,10418,90185,409734,0,0,0,0,0,0
50,1775,13144,70919,1957,15215,74589,1,3,643,1262,12066,52115,1781,13148,69391,1218,1067,18400,171,2072,4059,2,66,340,54,308,2183,2,250,123,68,319,978,0,0,0,1774,17019,91470,1439,11242,86236,105,756,1470,177,114,305,416,177,182,43,565,1309,319,282,666,220,768,1842,94,1480,2797,125,110,167,64,1092,1732,1735,484,1638,304,147,152,173,61,208,240,123,379,15,56,180,4,3,44,365,852,1984,85,1490,2875,209,182,691,64,1116,1742,87,1501,3705,0,24,128,8,14,239,97,75,304,294,431,2551,0,0,1,195,1450,3030,57,1041,2310,134,842,2662,7,21,175,2252,20583,101294,3351,33499,156924,0,2978,13820,102,24,343,3901,24319,114623,460,36306,40405,0,0,0,993,13151,55812,3276,17105,193639,379,410,20094,12,176,306,1,3,0,3747,20858,307794,10424,90185,406216,0,0,0,0,0,0
51,1777,13144,70521,1957,15215,74589,2,2,999,1262,12066,52115,1781,13148,69386,1218,1067,18398,171,2072,4059,6,68,363,45,244,1212,0,186,107,57,1517,868,0,0,0,1788,17161,90818,1425,11259,86164,109,937,1467,180,109,177,387,183,193,37,531,1251,296,451,673,215,734,1583,99,2215,2831,108,113,179,70,1128,1798,1088,533,662,356,151,153,154,59,843,248,189,299,22,66,168,4,0,62,341,846,1845,128,2447,2955,192,171,657,58,1140,1864,104,1487,2973,0,45,137,0,35,272,86,78,196,284,159,3255,0,0,1,300,1465,3272,51,1161,2216,136,806,4300,5,22,156,2252,20341,101294,3351,33499,156924,0,1704,2738,106,29,375,4067,24568,111552,502,2390,13403,0,0,0,993,13151,55623,3404,16601,153621,374,122,19067,0,160,361,0,1,0,3686,23099,318108,10418,90185,406216,0,0,0,0,0,0
52,1777,13144,70521,1957,15215,74589,1,2,679,1262,12066,52115,1778,13148,69615,1218,1067,18448,171,2071,4059,2,111,347,37,205,1430,20,201,110,65,387,882,0,0,0,1880,17302,91464,1536,11284,90512,130,757,1461,171,112,163,396,187,178,40,569,1281,326,280,657,212,770,1579,63,1420,2872,117,130,174,66,1094,1520,1274,580,593,387,144,146,150,76,106,261,204,538,19,41,181,0,4,52,339,786,2743,81,1592,2841,183,171,874,56,1116,1784,129,1454,2879,0,42,109,4,19,295,51,75,151,314,164,2998,0,3,1,334,1435,3083,81,1067,2100,99,940,3800,4,23,142,2252,20341,101294,3350,33499,156924,0,1797,2485,106,55,487,5727,24485,114706,394,2573,15106,0,0,0,993,13151,55623,3106,15602,226026,388,351,19886,17,178,280,0,2,0,3784,21163,302523,10424,90185,406216,0,0,0,0,0,0
53,1775,13144,70521,1955,15767,74589,1,2,661,1262,12066,52115,1781,13148,69289,1218,1067,18400,171,2072,4059,3,83,354,49,306,1226,7,150,244,41,294,2342,0,0,0,1775,17696,91527,1513,11277,86705,158,757,1639,176,103,177,635,419,362,41,586,1274,322,266,878,218,746,1605,116,1471,2934,122,106,176,58,1092,1776,750,526,1299,363,164,145,142,127,38,283,204,630,22,194,194,7,14,55,334,814,1758,99,1503,4122,190,172,701,48,966,1894,145,1507,2902,0,43,119,5,13,288,50,49,195,287,140,3822,0,0,0,163,1411,2879,19,1035,2230,138,888,3089,3,19,200,2252,20341,101625,3351,33499,156924,0,1585,3918,162,61,414,4067,26394,129314,405,2594,41530,0,0,0,993,13151,55623,2974,15291,147175,411,639,19308,9,181,330,0,40,0,3714,22407,321652,10424,90185,406216,0,0,0,0,0,0
54,1777,13144,70521,1957,15215,75242,1,2,663,1262,12066,52115,1781,13148,69190,1218,1067,18400,171,2072,4059,2,88,406,82,247,1328,3,133,129,67,323,1057,0,0,0,1848,17115,91489,1491,11281,86983,113,753,1848,168,108,170,394,187,185,40,537,1298,313,264,683,216,708,1467,79,1480,3618,112,105,171,64,1040,1750,877,524,870,369,138,164,150,71,26,263,329,482,20,66,361,9,2,54,333,817,1937,110,1450,3091,370,173,660,34,1008,1778,144,1531,2886,2,30,111,0,20,271,53,60,167,258,162,3077,0,0,6,172,1455,3350,103,1040,2141,105,837,2998,52,21,152,2251,20341,101294,3351,35167,156924,0,2431,20390,111,34,392,3818,40836,113378,342,2925,38874,0,0,0,993,13151,55623,3142,14681,114671,376,469,19862,0,173,308,0,0,3,3673,21667,326021,10424,91007,406216,0,0,0,0,0,0
55,1777,13144,70521,1957,15215,74589,1,2,639,1262,12066,52115,1778,13148,69243,1218,1067,18400,171,2299,4288,2,112,345,39,297,1329,1,153,49,64,335,808,0,0,0,1858,17106,90900,1506,11267,86092,111,753,1605,175,101,156,373,1546,209,37,579,1391,301,285,688,215,711,1574,101,1501,2903,121,107,162,50,1090,1816,915,541,1093,338,124,153,148,85,23,229,377,858,29,47,196,1,3,66,332,844,1706,75,1447,2900,411,172,580,54,1058,1692,139,1565,2895,0,30,107,5,21,244,47,76,137,266,160,1339,0,0,0,185,1847,4352,26,1027,2219,113,1073,2797,3,24,156,2252,20341,101294,3351,33499,158922,0,2741,2573,287,33,361,3818,24236,111552,411,2574,20268,0,0,0,993,13151,55623,3105,14768,86380,389,169,19261,15,167,348,0,0,2,3721,21982,299688,10424,90185,407033,0,0,0,0,0,0
56,1775,13144,70521,1955,15215,74589,2,2,633,1261,12111,52158,2025,13148,69339,1218,1067,18400,171,2062,4059,2,73,320,51,249,1492,2,158,378,75,276,1121,0,0,0,1974,17105,91824,1490,11313,86412,98,751,1632,189,105,144,388,343,329,39,585,1316,301,285,685,219,729,2111,69,1403,2867,116,171,221,32,1124,1544,834,647,1490,345,148,155,180,107,34,207,191,351,25,38,195,7,3,70,337,830,1750,116,1602,3301,217,169,688,70,1106,1674,124,1546,3305,1,83,169,3,19,275,46,522,414,206,145,1503,0,0,0,198,1469,3972,73,999,2588,101,882,2676,26,22,166,2252,20341,101294,3351,33499,156973,0,4341,8570,151,51,438,3984,24900,111303,384,35149,13742,0,0,0,993,13760,56253,3138,15290,65018,424,352,19355,0,156,305,0,0,2,3677,22137,311346,10424,90185,406216,0,0,0,0,0,0
57,1777,13144,70608,1980,15215,74589,1,2,647,1262,12066,52115,1774,13148,69459,1218,1067,18399,171,2062,4059,1,118,351,43,561,1915,2,181,351,56,337,859,0,0,0,2042,17029,91760,1520,11272,86399,106,754,1649,175,203,361,397,173,316,42,447,1323,308,260,711,219,1047,1550,94,1453,2951,134,109,158,74,936,1838,789,544,788,360,176,163,128,71,126,201,170,317,19,38,177,0,6,77,335,712,1747,70,1445,2935,188,179,642,76,932,1868,118,1827,2906,0,25,109,17,19,267,46,114,109,131,310,3276,0,0,0,280,1499,4022,53,1295,2198,83,658,2808,2,17,200,2251,20341,101294,3351,33499,156925,0,3086,2204,102,63,390,3569,27390,116947,6794,1887,16072,0,0,0,993,13151,55623,3289,14689,65580,378,142,18592,19,181,292,0,0,2,3786,21185,318152,10424,90185,406217,0,0,0,0,0,0
58,1777,13223,70521,1958,15215,74589,1,4,635,1262,12066,52115,1781,13148,69609,1218,1067,18518,171,2062,4059,5,57,334,45,303,1258,0,191,414,50,393,837,0,0,0,1766,16907,91770,1549,11306,85834,97,753,1693,154,111,168,408,164,184,40,536,1325,317,258,693,216,767,1649,94,1462,2897,119,109,167,56,1140,1808,772,675,1712,361,128,157,162,68,30,204,147,335,26,39,159,9,30,47,341,748,1699,101,1479,2979,185,164,597,68,892,1748,123,1519,2945,3,23,128,0,18,277,51,73,121,173,151,2911,0,0,0,180,1430,3879,45,1072,2139,141,832,3577,2,14,180,2252,20341,101294,3351,33499,156924,0,4449,12143,91,57,417,3984,24568,111552,229,2731,28033,0,0,0,993,13151,55623,2926,15347,63015,374,398,19271,0,175,327,1,1,1,3712,21846,336130,10424,90185,406216,0,0,0,0,0,0
59,1777,13144,70521,1955,15215,74589,1,2,635,1261,12066,52115,1781,13148,69732,1218,1067,18399,171,2062,4059,2,162,456,59,175,1410,4,140,820,42,377,980,0,0,0,1823,17208,90864,1521,11327,86164,92,759,1485,173,105,135,379,187,171,39,563,1329,295,263,696,215,736,1786,63,1585,2893,102,115,170,66,1024,1648,815,519,502,404,170,151,112,193,37,188,157,570,22,58,173,6,11,45,337,775,2008,81,1434,2895,188,172,1227,74,802,1832,157,1494,2978,0,28,122,3,18,299,91,66,144,199,134,3902,0,0,0,315,1450,3737,83,1071,2115,91,926,2977,2,45,153,2252,20369,102509,3351,33499,156924,0,5966,2932,98,36,694,4067,27058,111054,477,3142,12852,0,0,0,993,13151,55623,3051,17914,77410,361,134,19058,21,177,324,3,1,0,3701,23017,302240,10418,90185,406216,0,0,37,0,0,0
60,1777,13144,70521,1957,15215,74589,1,2,643,1262,12066,52115,1781,13148,69698,1218,1067,18400,171,2062,4059,7,122,339,91,224,1165,0,204,435,49,296,1310,0,0,0,1968,16966,91819,1542,11337,86093,100,755,1606,196,97,134,397,177,172,39,541,1306,311,279,1272,207,771,1732,114,1457,3253,101,112,170,60,962,1802,1135,903,580,357,160,166,133,83,172,209,172,449,36,73,183,7,10,67,344,796,1731,90,1501,3596,186,175,647,62,1038,1748,92,1524,2931,0,24,115,4,38,281,47,84,152,453,150,1793,0,0,23,252,1491,3688,15,1026,2120,111,1508,2709,4,17,154,2251,20342,101294,3350,33499,156924,0,3312,1820,91,36,418,3735,26809,124417,400,3144,35485,0,0,0,993,13151,55623,2997,32512,82546,377,373,19537,17,186,283,0,1,0,3723,125102,315928,10424,90185,406216,0,0,0,0,0,0
61,1775,13144,70521,1957,15215,74737,2,2,631,1262,12066,52115,1781,13148,69767,1302,1166,18400,171,2062,4059,4,196,430,41,338,1426,0,124,424,70,209,972,0,0,37,1930,17252,91046,1450,11489,86349,102,754,1471,167,105,129,466,154,182,38,534,1290,308,274,680,214,729,1504,56,1455,2927,82,103,167,66,1030,1808,993,598,503,390,128,196,133,94,262,243,123,399,27,64,262,7,6,47,338,1164,1693,97,1451,2841,176,170,674,72,1004,1894,133,1539,2902,1,38,125,2,22,282,88,83,125,244,155,2918,0,0,0,202,1448,3761,77,1016,2241,83,916,2855,5,11,163,2252,20341,101294,3351,33499,156924,0,32757,3328,104,49,420,4233,24983,139772,405,2482,13804,0,0,0,993,13151,55623,3122,16301,64666,365,170,25447,0,160,341,0,1,9,3724,25561,320688,10424,90185,406216,0,0,0,0,0,0
62,1777,13144,70521,1957,15215,74589,1,2,640,1261,12066,52573,1781,13266,69754,1218,1067,18398,171,2062,4120,5,64,379,28,380,1074,0,139,372,48,253,917,0,0,0,1786,16927,90901,1533,11290,86770,101,749,1474,174,105,139,515,156,252,39,570,1304,314,279,671,206,745,1525,102,1424,2917,110,108,334,56,908,1858,707,533,473,378,121,129,160,101,108,208,206,870,18,43,168,1,10,46,345,803,1712,79,1443,2900,179,519,653,50,798,1818,81,1471,2948,1,39,243,0,18,291,55,75,155,243,160,3221,0,0,1,297,1536,5468,12,999,2097,92,814,3073,7,18,154,2252,20341,101294,3351,33499,157474,0,812,24282,184,239,427,4067,23489,112216,363,1402,16739,0,0,0,993,13151,55623,3323,19452,82460,376,427,21319,12,183,336,0,1,6,3696,22694,301377,10418,90185,409859,0,0,0,0,0,0
63,1777,13144,70521,1957,15215,74589,1,2,655,1262,12066,52115,1778,13148,69796,1218,1067,18400,171,2062,4059,4,55,368,37,348,2521,0,435,339,68,270,1244,0,0,0,1799,17248,90775,1536,11247,86566,100,757,1455,183,94,269,466,989,176,39,470,1305,295,264,666,216,732,1958,82,1468,2800,96,115,165,76,832,1782,733,541,1173,377,108,148,216,78,27,213,210,536,17,71,196,11,7,56,330,807,1680,121,1416,2886,187,188,562,38,586,1788,93,1513,3805,0,32,113,6,20,272,52,86,256,242,248,2538,0,0,0,254,1667,3858,68,1031,2198,99,974,2853,5,25,140,2252,21281,101292,3350,33499,156924,0,3046,2107,77,55,411,4067,21248,112050,540,1802,14878,0,0,0,993,13151,55816,3739,36606,60030,384,168,23105,0,178,333,1,0,0,20546,21829,302839,10424,90185,406216,0,37,0,0,0,0
64,1775,13144,70866,1955,15215,74589,1,2,1087,1262,12066,52115,1781,13148,69807,1218,1067,18400,171,2062,4059,0,76,444,77,298,880,22,158,315,5892,779,1213,0,0,0,1805,17428,90817,1508,11378,86404,171,834,1476,175,129,134,387,154,264,43,468,1329,335,740,667,212,737,1554,90,1850,2887,113,124,182,60,1026,1810,855,548,587,345,108,149,185,66,616,231,194,635,17,69,171,1,8,63,350,822,1694,70,1925,2968,179,183,677,2,1074,1744,155,1491,2944,1,19,118,5,18,289,100,69,142,202,146,2906,0,0,1,295,1564,3699,69,1068,2260,77,872,2929,8,15,203,2252,20341,101294,3351,33499,156924,0,2571,3533,69,38,408,4233,23655,112216,434,1760,13779,0,0,0,993,13151,55623,4232,15488,58738,409,477,20552,17,180,320,0,0,1,3740,21237,303459,10424,90185,406216,0,0,0,0,0,0
65,1777,13161,70521,1957,15215,74589,1,2,686,1262,12066,52115,1781,13148,69806,1218,1067,18439,171,2062,4059,4,53,395,62,310,1452,150,151,304,830,322,1327,0,37,0,1826,17728,90794,1530,11384,91416,110,759,1478,193,125,142,389,142,418,40,574,1322,329,268,708,215,715,1571,87,1347,2830,120,115,169,66,1078,1816,2235,2442,514,306,128,141,227,68,46,211,238,798,31,54,189,8,11,52,330,836,2809,120,1527,2884,174,168,658,26,1000,1694,119,1529,2945,0,34,96,0,37,277,87,78,167,261,165,3289,0,10,0,329,1451,3427,46,1014,2102,124,774,3842,27,18,194,2252,20341,101294,3351,33499,156924,0,3605,12763,99,36,363,3901,24236,118939,436,1843,15514,0,0,0,993,13151,55623,3470,15021,79579,378,163,22621,4,169,405,0,0,0,3688,22159,323338,10424,90185,406216,0,0,0,0,0,0
66,1777,13144,70521,1957,15417,74589,2,2,679,1262,12066,52115,1778,13148,69903,1218,1067,18399,171,2062,4059,2,100,385,73,346,1551,14,126,514,505,281,2652,0,0,0,1820,17335,89997,1525,11362,87641,86,754,1468,168,134,137,405,161,366,40,590,1300,315,392,988,214,665,1519,51,1451,2883,120,117,177,70,1088,1718,1103,668,493,225,277,146,160,61,31,221,136,540,26,109,173,6,8,38,343,803,1785,92,1409,7494,187,175,1066,74,972,1812,145,1510,2884,41,35,108,3,51,242,34,77,113,255,313,3230,0,0,0,278,1489,3549,90,999,2148,73,841,2852,12,20,164,2252,20341,101564,3351,33499,156924,0,2841,2031,47,45,488,3735,28054,112631,569,3292,78452,0,0,0,993,13151,55623,3263,16116,90611,360,2079,22646,10,175,314,0,16,0,3715,21686,305778,10424,90185,406216,0,0,0,0,0,0
67,1775,13144,70521,1955,15215,74589,1,2,641,1262,12066,52115,1781,13148,69795,1218,1067,18399,171,2068,4059,14,107,350,52,340,1279,2,152,307,309,279,1212,0,0,0,1791,16928,91197,1482,11283,87484,98,753,1690,201,141,121,383,170,385,39,580,1319,311,285,1290,220,629,1566,122,1492,3713,109,119,164,46,940,1718,820,698,472,280,157,163,168,81,39,213,164,399,31,47,167,1,11,54,335,840,1712,104,1418,3394,175,165,646,70,930,1868,109,1564,2893,22,28,83,4,18,272,2054,73,166,209,141,2085,0,0,1,249,1420,3656,14,1033,2139,98,672,2866,6,19,198,2252,20341,101294,3351,34064,156924,0,15914,1796,78,58,408,3818,24402,125828,423,2667,31637,0,0,0,993,13151,55623,3116,14886,59939,357,490,28332,12,180,317,0,5,6,3726,21563,303175,10424,93008,406216,0,0,0,0,0,0
68,1777,13144,70521,1957,15215,75174,1,2,641,1262,12066,52115,1781,13148,69789,1218,1067,18400,171,2121,4335,0,47,384,78,396,1141,4,79,346,412,334,677,0,0,0,1858,17029,91154,1535,11256,86471,103,758,1466,161,131,135,480,265,344,41,467,1399,305,288,715,210,698,1517,74,1516,2968,106,115,173,50,1078,1764,651,611,507,366,141,178,108,104,48,257,764,841,25,41,330,9,18,52,354,789,1720,108,1431,3006,184,173,412,68,968,1824,115,1546,2936,15,25,109,1,17,239,278,35,171,245,125,2227,0,0,1,84,2425,4252,111,1038,2184,90,532,2643,12,14,204,2251,20341,101294,3351,33499,159022,0,5787,1927,77,48,431,4233,16683,111552,707,2724,42281,0,0,0,993,13151,55623,2677,15860,59068,350,380,24035,0,186,323,0,1,1,3718,21632,304994,10424,90185,407353,0,0,0,0,0,0
69,1777,13144,70521,1957,15215,74589,1,2,644,1262,12223,52158,1778,13148,69821,1218,1067,18400,171,2062,4059,4,92,414,50,488,1191,11,113,314,463,375,432,0,0,0,1925,16959,91553,1521,11280,85736,107,757,1478,175,149,127,344,165,580,34,471,1285,329,267,698,211,599,1561,106,1454,2854,116,261,235,54,1106,1716,748,635,483,323,112,195,106,100,25,236,169,751,23,42,172,4,13,46,361,860,1749,76,1533,2818,174,166,341,60,1092,1742,109,1505,3270,24,160,195,1,21,277,91,150,461,239,128,1885,0,0,1,144,1501,3716,31,1029,2092,120,481,2789,7,22,155,2252,20341,101294,3351,33499,156924,0,4529,11152,65,60,326,3652,13778,123670,429,10295,28348,0,0,0,993,13151,56273,2902,14783,59763,381,594,24939,16,177,329,0,0,0,3707,23278,308474,10424,90185,406217,0,0,0,0,0,0
70,1777,13144,70641,1955,15215,74589,1,2,639,1261,12066,52115,1781,13148,69825,1218,1067,18400,171,2062,4059,4,77,373,84,1127,1851,8,104,321,474,308,367,0,0,0,1856,17050,91240,1518,11279,85562,95,759,1473,172,376,446,374,153,381,42,517,1316,309,285,617,215,857,1998,82,1438,2928,96,118,178,72,1084,1826,1127,999,593,338,118,131,97,100,135,253,130,655,16,38,186,9,13,70,353,805,1726,105,1500,2915,184,174,365,72,1114,1576,102,2199,3005,11,17,109,23,22,296,41,52,157,208,131,1871,0,0,2,80,1448,3471,57,1066,2496,105,612,2683,26,13,171,2252,20341,101294,3351,33499,156924,0,6241,3051,78,40,338,3569,14276,112216,438,1965,25949,0,0,0,993,13325,55623,3145,15272,81888,386,299,24964,0,159,317,0,0,2,3689,20722,325129,10418,90185,406216,0,0,0,0,0,0
71,1777,13403,70521,1957,15215,74589,2,2,632,1262,12066,52115,1781,13145,69833,1218,1067,18538,171,2062,4059,0,75,471,41,240,1099,13,116,333,398,363,397,0,0,0,1986,17356,91327,1430,11276,86306,98,753,1473,164,145,192,365,853,374,39,454,1289,304,279,686,211,650,1623,96,1498,2892,110,117,170,66,1108,1844,931,2408,457,340,101,110,176,117,58,241,160,592,19,56,200,1,21,62,336,842,1708,77,1443,2910,177,169,359,70,1122,1754,137,1536,2879,18,26,91,19,18,391,44,62,140,198,134,1937,0,0,0,112,1456,3614,62,1000,2129,71,555,3346,10,22,230,2252,20341,101294,3350,33499,156924,0,6098,1789,100,58,375,3984,16766,112465,495,17710,36434,0,0,0,993,13151,55623,3054,14983,58793,365,389,22408,23,180,342,0,2,1,3722,21125,341002,10424,90185,406216,0,0,0,0,0,0
72,1777,13144,70521,1957,15215,74589,1,22,644,1262,12066,52115,1778,13148,69968,1218,1067,18400,171,2062,4059,3,74,361,63,271,1196,6,114,389,384,425,377,0,0,0,1771,17214,92262,1457,11299,86565,91,756,1493,175,142,164,359,167,199,40,463,1360,312,264,697,206,713,1540,118,1477,2910,101,118,165,72,1152,1702,731,362,564,307,117,166,127,410,84,245,220,640,20,53,170,8,7,48,345,822,2044,108,1448,2872,184,175,1290,92,1046,1628,110,1517,2928,15,36,113,4,14,283,65,58,231,244,148,2110,0,0,0,110,1495,3819,35,1042,2200,133,505,2759,8,36,165,2252,20341,101294,3351,33499,156924,0,6856,10758,100,47,607,5312,14525,111303,365,2988,24864,0,0,0,993,13172,55623,3366,14511,63646,348,395,19748,13,182,311,0,1,1,3692,21211,307280,10424,90185,406216,0,0,0,0,0,0
