application,data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
90:java.util.LinkedList,java.util.LinkedList,654.0,888.0,2.0,535.0,655.0,116.0,225.0,1.0,31.0,11.0,4.0,0.0,1142.0,842.5,77.0,213.0,80.0,13.0,300.0,258.0,50.5,49.0,22.0,228.0,226.0,1.0,195.0,2.0,0.0,496.5,70.0,253.0,22.0,45.0,3.0,0.0,1.0,2.0,0.0,67.0,16.0,75.0,1.0,1682.0,2298.0,0.0,26.0,1950.5,222.5,0.0,611.0,1485.5,640.5,0.0,8.0,3082.5,5031.0,0.0,0.0
91:java.util.ArrayList,java.util.ArrayList,1521.0,1728.0,0.0,1317.0,1522.0,202.0,200.0,0.0,18.0,5.0,4.0,0.0,1796.5,1259.0,71.0,140.0,73.0,13.0,206.0,189.0,36.5,46.0,18.0,168.0,169.0,1.0,139.5,3.0,0.0,367.0,50.5,187.0,20.0,39.0,1.0,0.0,1.0,1.0,0.0,48.0,13.0,56.0,0.0,2766.0,3322.0,0.0,22.0,2490.0,281.0,0.0,553.0,1489.5,446.0,0.0,3.0,4023.0,8881.0,0.0,0.0
92:java.util.LinkedList,java.util.LinkedList,582.0,792.0,0.5,463.0,582.0,118.0,206.0,0.0,16.0,9.0,2.0,0.0,1005.5,753.0,71.0,153.0,77.5,12.0,230.0,204.0,36.5,49.0,22.0,188.0,177.0,0.0,146.0,2.5,0.0,387.0,52.0,213.0,22.0,38.0,2.0,0.0,0.0,0.0,0.0,50.0,13.0,50.0,1.0,1518.0,2072.0,0.0,20.0,1660.0,205.0,0.0,551.0,1329.5,460.0,0.0,5.0,2688.0,4425.0,0.0,0.0
93:java.util.ArrayList,java.util.ArrayList,2889933.0,3391910.5,149.0,3825759.5,1296127.5,50976.0,27650.5,209.5,20197.5,13642.0,387.0,0.0,3691990.0,2254416.5,103072.0,606.0,1349.0,392.5,69674.5,46369.0,17735.5,56325.5,183.0,496.5,400.0,81.5,472.0,10991.5,23.0,57843.0,49295.0,64354.5,230.0,4404.5,1323.0,49.0,166.5,88.0,0.5,66122.5,440.0,109202.0,89.0,5956983.5,2885349.0,1906.0,1169.5,1114980.5,250749.5,0.0,97107.0,152463.0,3538.0,5.0,14.0,1590309.5,1.83335765E7,0.0,0.0
94:java.util.ArrayList,java.util.ArrayList,667.0,870.0,1.0,502.0,665.0,162.0,200.0,1.0,24.0,11.0,13.0,0.0,1104.5,852.0,70.0,165.0,79.0,17.0,224.0,226.0,63.0,44.0,26.0,190.0,185.0,4.0,163.5,3.0,2.0,420.0,76.5,222.0,26.0,63.0,2.0,3.0,3.0,2.0,0.0,73.5,25.5,74.0,1.0,1596.0,2252.0,41.0,30.0,1992.0,238.0,0.0,653.0,1578.0,622.0,0.0,8.0,2982.0,4926.0,0.0,0.0
95:java.util.ArrayList,java.util.ArrayList,13671.0,13914.0,7.0,12072.0,13404.5,1597.0,243.0,2.0,46.0,17.0,13.0,0.0,11728.0,6490.5,117.0,210.0,106.0,27.0,324.5,308.0,95.0,74.0,42.0,252.5,238.5,2.0,206.0,6.0,1.0,544.0,114.5,285.5,42.0,86.0,2.0,1.0,3.0,7.0,0.0,124.0,41.5,115.0,2.0,18377.5,19130.0,25.0,46.0,10790.0,499.0,0.0,753.5,2020.0,630.5,0.0,9.0,16330.0,64898.5,0.0,0.0
96:java.util.ArrayList,java.util.ArrayList,536.0,733.0,2.0,417.0,537.5,120.0,190.0,0.0,22.0,6.0,6.0,0.0,913.0,754.5,61.0,107.0,67.0,10.0,159.0,148.0,40.5,43.0,16.0,160.0,133.0,2.0,90.0,4.0,0.0,265.0,46.0,138.0,16.0,38.5,3.0,0.0,1.0,2.0,0.0,50.0,10.0,60.0,0.0,1421.0,1883.5,0.0,16.5,1826.0,226.5,0.0,463.0,1446.0,576.0,0.0,8.0,2789.0,4068.0,0.0,0.0
97:java.util.ArrayList,java.util.ArrayList,571.0,786.0,2.0,453.0,572.0,118.0,208.0,0.0,22.0,6.0,2.0,0.0,1004.0,846.5,54.0,120.0,66.0,12.0,174.0,164.0,34.0,35.0,20.0,175.0,137.5,1.0,106.0,2.0,0.0,300.0,53.5,161.0,18.0,32.0,1.0,0.0,1.0,2.0,0.0,54.5,12.0,60.0,0.0,1567.0,2085.0,0.0,16.0,1909.0,254.5,0.0,510.0,1552.0,612.0,0.0,10.0,2868.5,4440.0,0.0,0.0
98:java.util.ArrayList,java.util.ArrayList,803455.0,873691.0,150.0,870480.5,512670.5,32945.0,9476.0,38.0,748.0,584.0,191.5,0.0,851150.5,496819.5,13451.0,490.0,288.0,138.5,10075.0,9665.5,1369.0,33173.0,126.0,374.0,389.5,39.0,439.5,136.5,13.5,31786.5,2410.5,37924.0,151.0,597.5,37.0,21.0,52.0,38.0,0.0,7710.0,153.0,3284.0,26.0,1339253.0,935390.0,80.0,204.5,402467.0,62859.0,0.0,23371.0,45372.0,2196.5,3.0,11.0,589757.0,4380964.0,0.0,0.0
99:java.util.ArrayList,java.util.ArrayList,512.0,734.0,2.0,402.0,512.0,110.0,215.0,0.0,18.0,6.0,2.0,0.0,927.0,704.0,49.5,96.0,63.0,10.0,138.0,145.0,32.5,37.0,18.0,134.0,121.0,1.0,95.0,3.0,1.0,263.0,43.5,130.0,18.0,32.0,2.0,0.0,1.0,2.0,0.0,53.0,13.5,56.5,0.0,1470.0,1970.0,0.0,17.0,1494.0,229.5,0.0,501.0,1143.5,380.0,0.0,4.0,2375.5,4099.0,0.0,0.0
9:java.util.ArrayList,java.util.ArrayList,16572.0,18424.0,16.0,13992.0,16439.5,2721.0,1734.5,2.5,43.5,29.0,23.5,0.0,18677.5,11748.0,137.0,216.0,120.5,27.0,361.0,329.0,101.0,91.0,40.0,286.5,225.5,4.5,203.0,8.0,2.0,549.5,122.5,308.0,38.0,102.5,6.0,2.0,5.0,96.0,0.0,126.5,39.0,112.0,2.0,28792.5,31497.0,35.0,48.5,15687.0,1226.0,0.0,2770.0,3703.0,840.5,0.0,11.0,23639.5,90864.0,0.0,0.0
