application,data_structure,PAPI_BR_CN,PAPI_BR_INS,PAPI_BR_MSP,PAPI_BR_NTK,PAPI_BR_PRC,PAPI_BR_TKN,PAPI_BR_UCN,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_CA_SHR,PAPI_CA_SNP,PAPI_DP_OPS,PAPI_FUL_CCY,PAPI_FUL_ICY,PAPI_L1_DCM,PAPI_L1_ICM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L1_TCM,PAPI_L2_DCA,PAPI_L2_DCM,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L2_ICA,PAPI_L2_ICH,PAPI_L2_ICM,PAPI_L2_ICR,PAPI_L2_LDM,PAPI_L2_STM,PAPI_L2_TCA,PAPI_L2_TCM,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_L3_DCA,PAPI_L3_DCR,PAPI_L3_DCW,PAPI_L3_ICA,PAPI_L3_ICR,PAPI_L3_LDM,PAPI_L3_TCA,PAPI_L3_TCM,PAPI_L3_TCR,PAPI_L3_TCW,PAPI_LD_INS,PAPI_LST_INS,PAPI_MEM_WCY,PAPI_PRF_DM,PAPI_REF_CYC,PAPI_RES_STL,PAPI_SP_OPS,PAPI_SR_INS,PAPI_STL_CCY,PAPI_STL_ICY,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_TOT_CYC,PAPI_TOT_INS,PAPI_VEC_DP,PAPI_VEC_SP
2:java.util.ArrayList,java.util.ArrayList,67175.0,70221.5,60.0,58702.5,67124.0,8483.0,3045.0,12.0,83.0,68.0,102.0,0.0,63951.5,40137.5,419.5,276.5,205.5,158.0,795.5,683.5,490.5,175.0,275.0,521.0,345.0,28.0,354.5,10.0,11.5,908.5,505.0,472.0,266.0,495.5,6.0,11.5,19.5,37.0,0.0,490.5,270.0,482.5,11.0,101840.5,109592.5,190.0,270.0,60133.5,3374.0,0.0,7718.5,17728.5,4458.0,6.0,4.0,95797.0,338299.5,0.0,0.0
317:java.util.LinkedList,java.util.LinkedList,5210.0,6691.0,7.0,4373.0,5218.5,850.0,1479.0,5.0,35.0,32.0,32.5,0.0,8205.5,9679.5,217.0,236.0,134.5,95.0,479.5,433.0,264.0,102.0,177.0,313.0,267.0,3.5,283.0,7.0,4.0,652.5,271.0,354.5,178.0,271.0,1.0,4.0,6.0,4.0,0.0,276.5,158.5,276.5,4.0,13529.0,17484.0,0.0,154.0,17845.0,2117.0,0.0,3941.0,13949.5,4481.5,1.0,4.0,25798.0,37724.5,0.0,0.0
368:java.util.Vector,java.util.Vector,1.81269337E8,2.23910894E8,1051.0,2.29003276E8,7.6424938E7,3266922.5,5251038.5,377297.5,1.3415513E7,1.42867915E7,651630.5,0.0,2.730691535E8,1.916480425E8,6964042.5,12607.5,238854.5,437568.5,4078809.0,4451835.5,2.0582673E7,7768516.0,325926.0,3033.0,27.0,4659.5,5163.5,6283954.5,100131.0,8585807.0,3.4164277E7,8290353.5,464599.0,6971564.0,2288264.0,209196.0,5174.5,3800.0,244410.5,2.6369412E7,1872845.5,4.0305813E7,426593.0,4.06724867E8,2.103505375E8,4343504.5,2004864.5,9.22892355E7,1.31065343E8,0.0,3.9613885E7,7.3250283E7,398176.0,8327.5,459.5,1.483148605E8,1.244810692E9,0.0,0.0
3:java.util.ArrayList,java.util.ArrayList,57669.5,62174.5,86.0,49332.0,57588.5,8403.0,4604.5,22.0,139.0,97.0,163.0,0.0,60203.0,39351.0,533.0,336.0,287.0,198.0,899.0,811.0,634.0,239.5,342.0,540.0,447.0,49.0,431.0,15.0,19.0,1149.0,651.5,602.5,340.0,649.0,11.0,16.0,33.0,41.0,0.0,645.5,340.0,629.0,18.0,95427.5,105331.5,35.0,344.5,55278.0,4602.0,0.0,9769.0,17462.5,3619.0,5.5,4.0,88708.5,306432.0,0.0,0.0
400:java.util.Vector,java.util.Vector,380152.0,404154.0,4012.5,295890.5,376242.0,84318.5,23738.0,56.5,290.0,152.5,320.5,0.0,404600.0,300586.5,717.0,833.5,322.0,335.0,1518.0,1418.5,1138.5,271.0,560.0,920.5,891.0,85.0,915.5,26.0,36.0,2204.5,1239.5,1126.5,560.0,1166.0,23.0,38.0,76.5,76.0,0.0,1230.5,682.5,1178.0,38.0,528411.5,651386.5,1076.0,620.5,452433.0,88210.5,0.0,123233.0,178523.0,28901.0,5.0,4.0,679139.0,1916171.5,0.0,0.0
411:java.util.Vector,java.util.Vector,55798.0,61132.5,32.0,51292.5,56722.5,5846.0,5073.0,14.0,113.0,64.5,133.5,0.0,64567.5,43225.5,408.0,361.0,231.0,148.0,824.0,757.0,471.5,182.0,263.0,472.0,393.0,29.0,459.0,10.0,10.0,1038.0,506.5,539.0,266.0,466.5,6.0,8.0,37.0,25.5,0.0,523.0,256.5,513.5,13.0,91577.0,104253.5,155.0,251.5,60714.5,2105.5,0.0,12832.5,14959.5,3764.0,2.0,7.0,88285.5,316517.5,0.0,0.0
417:java.util.Vector,java.util.Vector,95283.0,108252.0,47.0,92136.0,94693.0,10238.0,8114.5,9.0,124.0,71.0,153.0,0.0,113318.0,69428.5,361.5,406.0,196.0,133.0,811.0,789.5,444.0,153.0,232.0,503.0,459.0,31.0,468.0,14.0,9.0,1116.5,489.0,573.5,232.0,435.5,9.0,7.0,37.0,39.0,0.0,494.0,225.0,471.5,8.0,165146.0,184607.0,223.0,241.0,96695.0,2274.0,0.0,19503.5,17195.5,4313.5,2.0,8.0,137228.0,568994.0,0.0,0.0
427:java.util.Vector,java.util.Vector,34282.5,37473.0,29.0,29810.0,34251.5,4474.0,3190.5,33.0,164.0,98.5,185.0,0.0,39866.0,31324.0,626.0,378.0,256.0,284.5,1039.0,936.5,770.5,224.0,424.0,471.0,388.5,32.0,434.0,13.0,23.5,1285.5,790.5,588.0,426.0,793.0,15.0,19.0,44.0,32.0,0.0,790.0,427.0,769.0,27.5,60124.0,72608.0,766.0,402.0,47393.0,3709.0,0.0,12480.0,19138.5,5402.5,3.0,6.0,68989.0,199139.5,0.0,0.0
432:java.util.Vector,java.util.Vector,170430.5,185921.5,73.0,153350.5,170418.5,17188.5,15367.5,12.0,124.5,80.0,177.5,0.0,205144.0,126800.5,409.0,453.0,217.0,161.0,908.5,881.0,509.0,174.0,280.0,579.0,487.5,40.0,563.0,12.5,12.0,1192.0,569.0,614.5,278.0,523.5,12.0,9.5,44.0,43.0,0.0,534.5,265.5,525.0,9.0,285873.0,325127.5,156.0,274.5,165917.0,2775.0,0.0,39215.5,23472.0,6823.0,3.0,7.0,240924.5,978007.5,0.0,0.0
453:java.util.Vector,java.util.Vector,67533.5,76659.0,74.5,60075.0,67323.5,7515.5,9103.5,42.0,206.0,133.0,258.5,0.0,90616.5,60403.0,588.0,463.5,297.5,229.0,1090.0,1136.5,756.5,248.0,374.0,587.5,530.0,47.5,565.0,17.0,31.0,1471.0,801.5,765.5,374.0,749.5,21.0,28.0,56.0,50.0,0.0,782.0,406.5,720.5,33.5,128351.0,155723.0,253.5,393.0,81589.0,3758.5,0.0,27251.0,20783.5,5365.5,4.0,9.0,122127.5,423717.0,0.0,0.0
